Nothing,OMAZ,DMAZ,BIKE_LOGSUM,BIKE_TIME
1003524,1989,8861,2.162,6.991
1003525,1998,8582,0.349,9.862
1003531,2252,707,-0.011,11.288
1003544,2177,3032,-4.493,11.338
1003547,2184,2815,-1.102,7.65
1003551,2251,741,0.265,1.896
1003561,1992,8769,-1.626,5.371
1003579,2225,1540,-3.872,7.321
1003583,2217,1788,-5.656,12.495
1003584,2155,3710,-1.849,3.735
1003588,2084,5911,-0.586,4.915
1003609,2246,891,0.407,5.819
1003620,2241,1041,-0.427,8.343
1003630,2218,1753,-0.578,7.249
1003631,2104,5287,-0.14,4.242
1003643,2251,733,-0.384,3.118
1003647,2155,3709,-4.196,11.26
1003652,2250,763,-3.28,7.954
1003691,2250,760,-3.2,7.6
1003695,2189,2651,-1.792,8.635
1003705,2253,666,3.603,2.771
1003721,2184,2800,-0.152,6.558
1003723,2155,3699,-3.806,9.629
1003751,2155,3700,-5.165,9.332
1003755,2250,750,-3.041,7.005
1003770,2064,6516,-2.277,10.489
1003779,2059,6670,-5.846,8.596
1003781,2154,3725,-5.857,12.121
1003794,2155,3697,-1.585,2.685
1003803,2250,751,-0.048,6.373
1003810,1992,8749,-0.661,7.249
1003850,2246,872,-0.912,10.492
1003854,2171,3197,-0.616,4.403
1003855,2059,6669,-1.242,7.375
1003856,2066,6452,0.369,3.877
1003869,2155,3693,-4.224,9.915
1003870,2104,5274,-0.074,7.61
1003875,2250,747,2.891,3.793
1003877,2218,1739,-2.646,7.912
1003878,2217,1770,-5.654,12.762
1003889,2218,1862,0.018,5.223
1003900,2275,94,-1.246,5.646
1003903,2218,1861,0.078,4.765
1003911,2250,872,3.412,1.826
1003914,2184,2918,-1.481,4.979
1003923,2252,809,-0.191,9.447
1003942,2250,866,-0.793,3.948
1003948,2189,2757,-0.331,4.712
1003950,2238,1237,3.914,2.355
1003967,2275,93,-0.89,6.739
1003969,2252,806,-0.042,5.061
1003977,2246,991,0.096,10.434
1003991,2171,3311,-4.218,13.523
1003992,2119,4923,1.277,3.108
1004008,2217,1884,-1.591,12.226
1004031,2171,3312,4.056,0.782
1004040,2246,982,-1.218,10.467
1004043,2252,796,-0.34,4.339
1004045,2171,3307,-2.864,7.405
1004050,2252,795,-1.34,9.406
1004054,2246,981,0.639,7.656
1004055,2225,1632,-2.686,9.477
1004058,2184,2903,0.202,5.818
1004069,2246,984,-1.796,11.404
1004075,2275,85,-6.096,11.255
1004086,2252,792,0.244,7.561
1004090,2171,3303,-1.435,8.739
1004099,2064,6619,0.002,2.474
1004102,1985,9068,-0.99,5.845
1004103,2253,760,-5.347,10.718
1004106,2037,7456,-3.593,12.004
1004118,2253,763,-4.694,12.162
1004119,2218,1848,-2.719,5.732
1004124,2275,81,-1.411,4.712
1004128,2189,2746,-3.097,9.886
1004135,1985,9065,-2.242,12.045
1004137,2225,1625,-0.907,7.752
1004138,2218,1842,-4.095,12.225
1004143,2184,2896,-5.745,12.474
1004151,2177,3112,-5.619,13.907
1004155,2084,5995,-0.937,6.243
1004168,2177,3115,-6.524,14.099
1004170,1985,9067,-2.851,11.204
1004171,1991,8881,-3.33,11.448
1004190,2177,3109,-4.915,10.178
1004194,2037,7449,-1.402,8.234
1004202,2177,3108,-4.421,8.867
1004213,2064,6611,0.5,1.529
1004214,2252,786,0.06,2.43
1004217,1985,9063,-1.777,10.138
1004225,1991,8877,-2.607,12.756
1004230,2217,1870,-3.013,4.547
1004241,2184,2888,-3.582,9.891
1004249,2184,2887,3.22,1.609
1004256,2251,813,0.679,1.5
1004258,2253,751,-0.292,8.51
1004264,2171,3293,-1.06,6.446
1004273,2253,750,-4.701,10.244
1004274,2238,1215,0.277,4.255
1004279,2184,2889,-3.793,7.933
1004286,2246,962,-0.099,6.256
1004289,2217,1861,-1.385,11.781
1004293,2189,2729,0.145,2.976
1004303,2252,775,-2.476,9.913
1004305,2246,961,1.367,2.15
1004309,2184,2883,-0.785,4.57
1004310,2189,2728,-0.609,8.894
1004313,2064,6603,-1.387,6.048
1004314,1989,8928,-2.725,12.882
1004316,2253,747,3.37,4.58
1004321,2251,809,-0.408,3.377
1004326,1992,8838,0.408,3.033
1004337,2217,1862,-1.652,12.954
1004345,2253,741,0.38,1.506
1004353,2064,6600,-4.572,11.646
1004363,2177,3096,-1.828,3.896
1004371,2171,3282,-1.508,7.027
1004379,2189,2727,-1.456,9.39
1004396,2184,2881,-4.017,8.142
1004414,2117,4953,-4.819,10.739
1004416,2238,1202,1.456,3.332
1004427,2275,55,-0.401,4.852
1004429,2104,5356,-0.628,9.257
1004430,2238,1201,-0.866,5.55
1004434,2252,767,-2.647,9.323
1004438,2217,1852,-4.752,11.242
1004439,1992,8827,-1.304,13.398
1004450,2225,1607,-3.89,7.544
1004455,2241,1111,-0.117,2.575
1004470,2225,1606,-1.198,7.029
1004475,2275,56,-1.976,5.992
1004477,2251,795,-0.719,2.225
1004481,2253,733,0.367,3.96
1004489,1938,10498,-1.627,9.996
1004492,2252,763,0.129,4.243
1004493,2217,1848,-3.231,4.667
1004518,2251,796,-5.668,13.174
1004532,2252,760,-0.161,3.312
1004533,2218,1814,-0.697,4.387
1004540,2006,8386,-0.692,3.449
1004560,2184,2870,-0.825,5.715
1004567,2006,8388,3.345,3.214
1004569,2275,49,-1.638,6.849
1004571,2251,792,-2.161,9.553
1004584,2184,2864,-0.345,8.255
1004590,1989,8909,2.099,8.317
1004595,2241,1096,-1.212,11.328
1004598,2251,786,-6.302,12.724
1004608,2218,1812,0.23,3.371
1004616,2217,1842,-5.601,11.498
1004624,2184,2860,-0.055,6.203
1004626,2189,2705,-0.276,9.193
1004637,2252,751,-0.493,10.278
1004641,2250,813,0.269,3.218
1004653,2246,940,0.295,2.466
1004657,2104,5342,0.126,7.194
1004668,2104,5341,-1.478,5.506
1004674,2189,2701,-0.857,6.76
1004675,2218,1802,-0.379,4.684
1004688,2246,933,-0.037,6.891
1004689,2250,809,0.486,3.417
1004691,2252,747,0.03,9.782
1004694,2177,3072,-5.215,13.295
1004696,1991,8838,0.429,1.793
1004699,2155,3754,-4.576,6.851
1004703,2252,750,0.963,3.386
1004713,2066,6516,-2.225,14.897
1004721,2184,2857,-3.736,10.173
1004724,2275,36,-0.89,3.838
1004729,2006,8375,-4.316,13.083
1004735,2104,5337,0.261,10.895
1004737,2246,290,-0.069,5.181
1004738,2251,135,-1.751,9.192
1004750,2225,940,-5.111,8.976
1004763,2246,292,3.576,2.878
1004769,2189,2059,-0.712,8.245
1004772,2154,3144,-3.15,5.686
1004783,2155,3112,-3.609,7.604
1004787,2008,7669,-5.39,13.531
1004789,2251,131,0.297,2.632
